id,episode,scene,characters,dialogue
59,1,5,"Meiko Akizuki","Sabes, creo que nunca me casaré..."
60,1,5,"Miki Koishikawa","Meiko, entonces a pesar de ser tan popular entre los chicos, nunca saldrás con…"
61,1,5,"Meiko Akizuki","¡No es para tanto!, la cosa es que no confíe en el matrimonio y otra muy distinta es que no me interesen los chicos"
62,1,5,"Miki Koishikawa","Que morro"
63,1,6,"Ginta Suou","Eh, Miki ¿qué estás haciendo?"
64,1,6,"Miki Koishikawa",Ginta
65,1,6,"Ginta Suou","Si no te das prisa te perderás el entrenamiento"
66,1,6,"Miki Koishikawa","Lo siento, pero hoy no puedo ir"
67,1,6,"Meiko Akizuki","¿Qué tienes que hacer?"
68,1,6,"Miki Koishikawa","Hoy cenamos con los Matsuura, debo estar allí para hablar con ellos y convencerles de que detengan esta locura"
69,1,6,"Meiko Akizuki","Ya veo"
70,1,6,"Ginta Suou","¿Es que te has empachado de tanto comer?"
71,1,6,"Miki Koishikawa","No es eso bruto, es una cuestión familiar"
72,1,6,"Ginta Suou","¿Una cuestión familiar? ¿De qué se trata?"
73,1,6,"Miki Koishikawa","No... cosas... bueno Ginta, díselo al capitán del equipo de mi parte"
74,1,6,"Miki Koishikawa","Bien, hasta luego"
75,1,7,"Miki Koishikawa","Rayos, no puedo contarle una cosa tan estúpida"
76,1,7,"Miki Koishikawa","Esto es un asco, pero ellos siguen siendo mis padres"
77,1,7,"Miki Koishikawa","Tengo que hacer algo"
78,1,7,"Miki Koishikawa","Si tengo que mover cielo y tierra para detenerlos lo haré"
79,1,7,"Miki Koishikawa","¡Impediré está locura!"
80,1,8,"Jin Koishikawa","Esta es mi hija Miki"
81,1,8,"Jin Koishikawa","Miki, este es el señor Youji Matsuura y su esposa Chiyako"
82,1,8,"Youji Matsuura","Encantado Miki"
83,1,8,"Chiyako Koishikawa","Es un placer conocerte"
84,1,8,"Miki Koishikawa","El placer es mío"
85,1,8,"Miki Koishikawa","Parecen buenas personas"
86,1,8,"Miki Koishikawa","Puede que sean normales"
87,1,8,"Miki Koishikawa","Perdonen, pero es que aún no me lo creo"
88,1,8,"Miki Koishikawa","¿Así que es cierto que piensan ustedes divorciarse y cambiar a su pareja por mis padres?"
89,1,8,"Yuu's fathers",¡Claro!
90,1,8,"Miki Koishikawa","Sabía que no eran normales"
91,1,8,"Rumi Matsuura","¿Dónde está Yuu?"
92,1,8,"Chiyako Koishikawa","Vendrá directamente de su instituto"
93,1,8,"Miki Koishikawa","¿Quién es Yuu?"
94,1,8,"Rumi Matsuura","¿No te lo dije?, es el hijo de los Matsuura, tiene más o menos tu edad"
95,1,8,"Miki Koishikawa","Bien, Tienen un hijo que seguramente habrá sufrido lo mismo que yo por culpa de sus padres"
96,1,8,"Miki Koishikawa","Que alivio, saber que tengo un aliado, me da fuerzas"
97,1,8,"Miki Koishikawa","Muy bien, si nos oponemos los dos juntos conseguiremos que cambien de opinión"
98,1,8,"Chiyako Koishikawa","Ya ha venido"
99,1,8,"Chiyako Koishikawa","¡Aquí Yuu!"
100,1,9,"Yuu Matsuura","Perdonad, ¿llego tarde?"
101,1,9,"Miki Koishikawa","¡Que guapo!"
102,1,9,"Miki Koishikawa","¿Este es Yuu?"
103,1,9,"Yuu Matsuura","Buenas tardes"
104,1,9,"Miki Koishikawa","Que sonrisa, ¡cómo está!"
105,1,9,"Miki Koishikawa","Buenas tardes"
106,1,9,"Miki Koishikawa","Y ahora qué hago, he tenido suerte al conocer a un chico ta guapo, es maravilloso, pero..."
107,1,9,"Miki Koishikawa","En que estoy pensando, no es tiempo para eso"
108,1,10,"Miki Koishikawa","Esto, quiero dejarlo muy claro"
109,1,10,"Miki Koishikawa","Quiero dejarlo claro, nunca aceptaré lo que estáis haciendo"
110,1,10,"Miki Koishikawa","Esto es una tontería, en primer lugar vuestras familias nunca lo aceptarán"
111,1,10,"Rumi Matsuura","No te preocupes por eso, ya hemos hablado con ellos"
112,1,10,"Jin Koishikawa","Si, desde que éramos pequeños nos permitieron actuar nuestro aire así que ahora no se ha sorprendido nadie"
113,1,10,"Youji Matsuura","A mí me pasó igual me dijeron que hiciera lo que quisiera"
114,1,10,"Miki Koishikawa","¿!Pero no veis que será un escándalo?!"
115,1,10,"Rumi Matsuura","Miki, eres demasiado rígida para ser tan joven"
116,1,10,"Jin Koishikawa","Porque no podría ser más tolerante hija"
117,1,10,"Rumi Matsuura","Lo que importa son los sentimientos, no crees"
118,1,10,"Miki Koishikawa","¡¿Sentimientos?! Y que pasa con lo que sentimos Yuu y yo, pensad en lo que sufrimos por culpa de vuestra decisión egoísta"
119,1,10,"Yuu Matsuura","A mí no me importa"
120,1,10,"Miki Koishikawa","Cómo es que no te importa que tus padres hagan una cosa tan absurda y estúpida"
121,1,10,"Yuu Matsuura","Pues no, si ellos lo tienen claro y están de acuerdo a mí me da lo mismo"
122,1,10,"Yuu Matsuura","Se te va a enfriar"
123,1,10,"Miki Koishikawa","Es otro tío raro"
124,1,10,"Rumi Matsuura","Entonces es nuestra hija, la única que se opone"
125,1,10,"Miki Koishikawa","Reconozco que mi padre y mi madre no son como todos los demás, ellos siempre han sido muy egoísta estoy muy frívolos, y nunca se han interesado por mis notas"
126,1,10,"Miki Koishikawa","Y además no saben cocinar, se levantan tarde, gastan el dinero a lo loco en comprarse viajes"
127,1,10,"Miki Koishikawa","Pero siguen siendo mis padres y no quiero separarme de ellos"
128,1,10,"Miki Koishikawa",¡No!
129,1,10,"Jin Koishikawa","Gracias Miki"
130,1,10,"Jin Koishikawa","Era muy importante saber que pensabas"
131,1,10,"Jin Koishikawa","Eso me deja mucho más tranquilo"
132,1,10,"Rumi Matsuura","Me ha hecho muy feliz oírte, pero no tienes de que preocuparte"
133,1,10,"All fathers","¡Porque vamos a comprar una casa más grande para vivir todos juntos en ella!"
134,1,10,"Rumi Matsuura","Así es, de este modo puede que cambian un poco las relaciones de pareja, pero no los familiares"
135,1,10,"Jin Koishikawa","Y como siempre seguirás teniendo a tus padres a tu lado en todo momento"
136,1,10,"Chiyako Koishikawa","Además, ni tú, ni Yuu tendrás que cambiar vuestros apellidos porque cada uno de vosotros va a seguir estando bajo la tutela de sus padres"
137,1,10,"All fathers","¿¡Es un buen plan, verdad?!"
138,1,10,"Miki Koishikawa","Esto es increíble"
139,1,10,"Jin Koishikawa","¿Qué te parece Miki?"
140,1,10,"Jin Koishikawa","¿Sigues estando en contra?"
141,1,10,"Miki Koishikawa","¡Claro que sí, nunca lo aceptaré!"
142,1,10,"Miki Koishikawa","¡Que pasá? ¿Porqué me están mirando todos así? Es como si yo fuese que está equivocada"
143,1,10,"Yuu Matsuura","Será mejor que te rindas"
144,1,10,"Miki Koishikawa","Está bien"
145,1,11,"Miki Koishikawa","No hay derecho, ¿porque me pasan a mí estas cosas?"
146,1,12,"Miki Koishikawa","Entonces mis padres y los Matsuura se divorciaron"
147,1,12,"Miki Koishikawa","Pero todavía no se han vuelto a casar"
148,1,12,"Miki Koishikawa","Creo que no nuestra ley no permite que la mujer se vuelva a casar antes de seis meses"
149,1,13,"Rumi Matsuura","Chiyako, ¿te parece que está bien puesto está aparador?"
150,1,13,"Chiyako Koishikawa","A ver"
151,1,13,"Rumi Matsuura","Jin, Youji, venid a ver esto"
152,1,14,"Miki Koishikawa","Asi que desde hoy hay cuatro personas no relacionadas entre sí y viviendo con sus hijos bajo el mismo techo"
153,1,15,"Yuu Matsuura","Vamos despierta ya, nos vamos a comprar Miki"
154,1,16,"Yuu Matsuura","¡Qué te pasa? hoy estás muy callada"
155,1,16,"Yuu Matsuura","La otra vez cuando la cena hablabas por los codos"
156,1,16,"Yuu Matsuura","Dime es que ya te has rendido"
157,1,16,"Miki Koishikawa","Sabes tú aspecto exterior no pega con lo borde que eres tendrías que hacer algo"
158,1,16,"Yuu Matsuura","Sin embargo, tú no tienes ese problema, eres borde por dentro y por fuera"
159,1,16,"Miki Koishikawa","Bueno me rindo a cuando una tiene unos padres tan irresponsables es inútil hacer nada"
160,1,16,"Miki Koishikawa","Pero es que cuando les veo a todos llevarse tan bien como si se conocieran de toda la vida incluso me parece que está bien lo que hacen"
161,1,16,"Miki Koishikawa","Pero no, esto sigue siendo absurdo, ya que ha pasado no pienso quejarme, pero imposible"
162,1,16,"Miki Koishikawa","No permitiré que me afecte eso lo tengo muy claro, ¿entiendes?"
163,1,16,"Yuu Matsuura","Sé que no es muy normal, pero creo que tenemos que tomarnoslo como si tuviéramos dos familias"
164,1,16,"Miki Koishikawa","Bueno no sigas enfadada"
165,1,16,"Miki Koishikawa","Vamos a llevarnos bien"
166,1,16,"Miki Koishikawa","La verdad es que está tan bueno"
167,1,16,"Miki Koishikawa","¡¿Qué, un chicle?!"
168,1,16,"Yuu Matsuura","¡Ja, ja, ja, ja!"
169,1,16,"Miki Koishikawa","Se está riendo de mí, Yuu, no huyas"
170,1,16,"Miki Koishikawa","¡Yuu!, vuelve aquí, ¡no huyas!"
171,1,17,"Miki Koishikawa","Es odioso"
172,1,18,"Miki Koishikawa","Buenas Meiko"
173,1,18,"Meiko Akizuki","Miki, ¿Cómo te va con tu nueva familia?"
174,1,18,"Miki Koishikawa","Calla, no lo digas tan alto, No quiero que nadie lo sepa, tú eres la única persona a la que le he contado el lío que hay en mi casa"
175,1,18,"Meiko Akizuki","Muy bien"
176,1,18,"Miki Koishikawa","Qué buen día hace hoy"
177,1,18,"Meiko Akizuki","Estás más animada de lo que pensaba "
178,1,18,"Miki Koishikawa","¡Sí! porque sé que mientras estoy aquí no tengo que sufrir a nadie de mi nueva familia"
179,1,18,"Miki Koishikawa","Es como si la escuela fuese mi refugio"
180,1,19,"Miki Koishikawa","¿Yuu? ¿Cómo?"
181,1,19,"Yuu Matsuura","Tenía que ir todos los días a Yokohama así que me he trasladado"
182,1,19,"Yuu Matsuura","Además desde aquí puedo pasar directamente a la universidad"
183,1,19,"Yuu Matsuura","De hecho fue Rumi la que me lo recomendó"
184,1,19,"Miki Koishikawa","¿Cómo es que me entero ahora?"
185,1,19,"Yuu Matsuura","Si lo hubieras sabido antes no habrías parado de quejarte a ver sí que me dijo que lo mantuviera en secreto"
186,1,19,"Miki Koishikawa","Lo teníais planeado, ¿verdad?, ¡sois odiosos!"
187,1,19,"Yuu Matsuura","Deja de protestar y cállate"
188,1,19,"Yuu Matsuura","Ahora también tendrás que aguantarme en el instituto"
189,1,20,"Ginta Suou","Meiko, ¿quién es ese?"
190,1,20,"Ginta Suou","¿Uno nuevo? "
191,1,21,"Miki Koishikawa","Pues no lo entiendo, ¿!y por qué no puedes ir a Yokohama?!"
192,1,22,"Ginta Suou","Oye, ¿Miki le conoce?"
193,1,22,"Meiko Akizuki","Él es, como si fuese su hermano"
194,1,22,"Ginta Suou","¿Cómo sí?"
195,1,22,"Ginta Suou","¿Qué quieres decir?"
196,1,23,"Ginta Suou","¡Eh Miki!"
197,1,24,"Miki Koishikawa",Ginta
198,1,24,"Ginta Suou","¿Quieres que juguemos un partido antes de la primera clase?"
199,1,24,"Ginta Suou","Tengo que practicar ese golpe"
200,1,24,"Miki Koishikawa","Claro que sí, acabo de llevarme un disgusto, así que me vendrá bien para relajarme"
201,1,24,"Ginta Suou","Bien vamos"
202,1,25,"Meiko Akizuki","¡Hey Yuu!, Hola, soy Meiko Akizuki, Miki me ha hablado mucho de ti, encantada de conocerte"
203,1,25,"Yuu Matsuura","Ah ya, igualmente"
204,1,25,"Yuu Matsuura","¿Ese chico es el novio de Miki?"
205,1,25,"Meiko Akizuki","Ah no, Miki y Ginta siempre se han llevado muy bien"
206,1,25,"Meiko Akizuki","Ellos son amigos desde que iban al colegio"
207,1,25,"Yuu Matsuura","¿Así que puede que algún día surja algo?"
208,1,25,"Meiko Akizuki","Sí, pero no creo"
209,1,25,"Meiko Akizuki","Verás Miki se declaró a Ginta cuando estaban en octavo curso, pero él la rechazo"
210,1,26,"Miki Koishikawa","Muy rico todo"
211,1,27,"Miki Koishikawa","Rayos, no hay derecho y porque tengo que ser yo quien te enseñe la escuela"
212,1,27,"Yuu Matsuura","Vamos Miki, no será tan terrible"
213,1,27,"Miki Koishikawa","Si lo es"
214,1,28,Namura,"Koishikawa, Matsuura, qué bien que os encuentro"
215,1,28,"Yuu Matsuura","Hola señor Namura"
216,1,28,"Miki Koishikawa",Nachan
217,1,28,Namura,"Son los documentos para formalizar el traslado"
218,1,28,"Yuu Matsuura",Gracias
219,1,28,Namura,"Supongo que estarás muy ocupado con el papeleo, pero no te desanimes"
220,1,28,Namura,"Ya sabes, estaré a tu disposición si me necesitas para algo"
221,1,28,"Miki Koishikawa","Muchas gracias, Nachan"
222,1,28,Namura,Adiós
223,1,29,"Miki Koishikawa","Nachan es uno de los mejores profesores y también el consejero de nuestro club"
224,1,29,"Miki Koishikawa","Eh, Yuu, ¿vas a ingresar en algún club?"
225,1,29,"Yuu Matsuura","En el colegio era socio del club de tenis"
226,1,29,"Miki Koishikawa","¿Qué?, No se te ocurra ingresar en nuestro club, ¿entiendes?"
227,1,29,"Yuu Matsuura","Eres una borde, pero no pensaba hacerlo"
228,1,29,"Yuu Matsuura","No, este año no me uniré a ningún club, la verdad es que han dejado de gustarme cosas que quería hacer"
229,1,29,"Miki Koishikawa","¿Y por qué?"
230,1,29,"Yuu Matsuura","Porque quiero aprovechar bien mi tiempo"
231,1,29,"Yuu Matsuura","Hay muchas cosas que quiero hacer"
232,1,29,"Miki Koishikawa",Trabajar
233,1,29,"Miki Koishikawa","Prepararte para la universidad"
234,1,29,"Yuu Matsuura",Bueno
235,1,29,"Yuu Matsuura","Algo así"
236,1,29,"Miki Koishikawa","De aquí puede pasar a la universidad del colegio sin tener que examinarse, querrá ir a otra"
237,1,29,"Yuu Matsuura","Oye, ¿Qué es ese edificio?"
238,1,29,"Miki Koishikawa","Ah, ese, es la biblioteca"
239,1,29,"Yuu Matsuura","¿Este instituto tiene una biblioteca tan grande?"
240,1,29,"Miki Koishikawa","Sí, pero tiene muchos libros viejos, así que la visita muy poca gente, a veces va Meiko cuánto tiene que estudiar para algún examen"
241,1,29,"Yuu Matsuura","Miki voy a faltar a esta clase, nos veremos en gimnasia"
242,1,29,"Yuu Matsuura",Chao
243,1,29,"Miki Koishikawa","Chao, como que, ¡espera Yuu!"
244,1,30,"Miki Koishikawa","¿A dónde habrá ido Yuu?"
245,1,30,"Miki Koishikawa","Es tan misterioso"
246,1,31,"Yuu Matsuura","Bien, creo que me va a gustar"
247,1,32,"Miki Koishikawa","Menos mal que he venido"
248,1,32,"Miki Koishikawa","No sabía que se le diesen también nos deportes"
249,1,32,"Miki Koishikawa","Es tan guapo"
250,1,32,"Miki's friend","Miki, ¡cuidado!"
251,1,33,"Meiko Akizuki","Miki, ¿Cómo estás?"
252,1,33,"Miki Koishikawa","Me siento mejor"
253,1,33,"Meiko Akizuki","Bien, Voy a recoger tu cartera"
254,1,33,"Miki Koishikawa","Muchas gracias Meiko"
255,1,34,"Miki Koishikawa","Me siento tan tonta por dejar que me diese la pelota"
256,1,34,"Miki Koishikawa","Oh no, vendrá otra vez a burlarse de mí"
257,1,34,"Miki Koishikawa","Me haré la dormida"
258,1,34,"Yuu Matsuura",¡Miki!
259,1,34,"Yuu Matsuura","¿Estás dormida Miki?"
260,1,35,"Miki Koishikawa","¡¿Pero qué ha hecho?!"
261,2,36,"Miki Koishikawa","¡Que hacer, que hacer, que hacer!"
262,2,36,"Miki Koishikawa","¿Que puedo hacer?"
263,2,36,"Miki Koishikawa","Yuu me ha besado, ¿qué es lo que pretendía?"
264,2,36,"Miki Koishikawa","No puedo quitarme de la cabeza lo de ayer"
265,2,36,"Miki Koishikawa","No sé cómo debo comportarme cuando le vea"
266,2,36,"Miki Koishikawa","Anoche no le vi por qué no baje a cenar"
267,2,36,"Miki Koishikawa","Bueno, él no sabe que estaba despierta"
268,2,36,"Miki Koishikawa","Debo actuar como si no me hubiese enterado"
269,2,37,"Yuu Matsuura","Buenos días"
270,2,37,"Miki Koishikawa","Buenos días"
271,2,37,"Miki Koishikawa","¿Dónde están todos?"
272,2,37,"Yuu Matsuura","Ya se han ido a trabajar"
273,2,37,"Miki Koishikawa","¿A sí? que bien"
274,2,37,"Yuu Matsuura","Tenemos suerte de que nuestro instituto no esté tan lejos como sus oficinas, Miki"
275,2,37,"Yuu Matsuura",¿Qué?
276,2,37,"Miki Koishikawa","¿Qué? Nada"
277,2,37,"Yuu Matsuura","Será mejor que desayunes, se te van a enfriar las tostadas"
278,2,37,"Miki Koishikawa","Oye, me podrías pasarme la mermelada de albaricoque"
279,2,37,"Yuu Matsuura","Solo queda de naranja"
280,2,37,"Miki Koishikawa","¿De naranja? Que fastidio"
281,2,37,"Miki Koishikawa","No me gusta mucho"
282,2,37,"Yuu Matsuura","Qué exquisita eres"
283,2,37,"Miki Koishikawa","Es que está mermelada sabe muy amarga"
284,2,37,"Miki Koishikawa","Eres cómo está mermelada"
285,2,37,"Yuu Matsuura",¿Comó?
286,2,37,"Miki Koishikawa","Si, te pareces mucho, porque aunque seas amargo, nadie lo ve, porque les engañas con tu belleza"
287,2,37,"Miki Koishikawa","Mermelada de naranja, ¡es un nombre perfecto para ti!"
288,2,37,"Yuu Matsuura","Pues no sé"
289,2,37,"Miki Koishikawa","Si, si lo sabes, que idea más ingeniosa "
290,2,37,"Yuu Matsuura","Pues tú eres como esto"
291,2,37,"Yuu Matsuura","A ti te voy a llamar la chica mostaza picante"
292,2,37,"Miki Koishikawa","La chica mostaza picante"
293,2,37,"Miki Koishikawa","Claro, porque no hay nadie quien la trague"
294,2,37,"Yuu Matsuura","Me tengo que ir"
295,2,37,"Yuu Matsuura","Hasta luego"
296,2,37,"Miki Koishikawa","¡Yuu, espera!"
297,2,38,"Miki Koishikawa","¡Quién va a recoger la mesa!"
298,2,39,"Miki Koishikawa","Yuu, Actúa como si no hubiera pasado nada"
299,2,39,"Miki Koishikawa","Parece ser que soy yo la que está confundida"
300,2,40,"Miki's friend","Oye Chibusa, ¿has oído lo que ha pasado?, ayer se besaron"
301,2,40,"Miki's friend","Sí ya me he enterado hablas Absusi y Mío ¿verdad?"
302,2,40,"Miki's friend","Sí que alucine cuando lo vi"
303,2,41,"Miki Koishikawa","Ah, hablan de la serie"
304,2,42,"Meiko Akizuki","Aquí pasa algo"
305,2,42,"Meiko Akizuki","¿Qué te ocurre?"
306,2,42,"Meiko Akizuki","Estás preocupado por lo de Miki y Yuu"
307,2,42,"Ginta Suou","Bah, a mí me da lo mismo lo que hagan"
308,2,42,"Ginta Suou","No me importa"
309,2,43,"Miki Koishikawa","Ese beso fue un accidente"
310,2,43,"Miki Koishikawa","No debo darle importancia"
311,2,43,"Meiko Akizuki","Vaya Miki, como tragas"
312,2,43,"Meiko Akizuki","Me parece que el beso de Yuu te ha abierto el apetito"
313,2,43,"Miki Koishikawa","He decidido olvidarme de ello"
314,2,43,"Miki Koishikawa","¡Así que lo mejor será que tú hagas lo mismo!"
315,2,43,"Meiko Akizuki",¡Vale!
316,2,44,"Miki Koishikawa","Me estoy volviendo loca por su culpa, no lo entiendo, ¿cómo puede ser así?"
317,2,44,"Miki Koishikawa","No sé lo que pasa"
318,2,44,"Miki Koishikawa","Fue mi primer beso"
319,2,44,"Miki Koishikawa","Ha sido muy importante para mi"
320,2,45,"Miki Koishikawa","No quiero volver a ver su cara"
321,2,45,"Meiko Akizuki","Este chico sale aún más guapo en la televisión"
322,2,45,"Miki Koishikawa","Esto es ridículo, pero ¿qué es lo que pretende hacer?"
323,2,46,Reporter,"Bien, querido Yuu"
324,2,46,"Yuu Matsuura",¿Sí?
325,2,46,Reporter,"Me he enterado que vienes al instituto muy bien acompañado"
326,2,46,Reporter,"Esta foto lo demuestra"
327,2,46,"Yuu Matsuura","¿Ah? ¿Te refieres a Miki?"
328,2,46,Reporter,"Si, Miki Koishikawa, vais juntos a la misma clase"
329,2,46,Reporter,"Dime, ¿que tipo de relación hay entre vosotros?"
330,2,46,"Yuu Matsuura","Pues vivimos juntos en la misma casa"
331,2,46,"Miki Koishikawa","¡¿Pero que estas diciendo?!"
332,2,46,"Miki Koishikawa","Dejame que yo aclarare eso"
333,2,46,"Miki Koishikawa","Nosotros no vivimos en la misma casa"
334,2,46,"Miki Koishikawa","Quiero decir, somos vecinos, y venimos juntos al instituto, porque sus padres y los mios son amigos"
335,2,46,"Miki Koishikawa","Y como es nuevo, me pidieron que le acompañase"
336,2,46,"Yuu Matsuura","Eh bonita, que yo nunca te he pedido que me acompañaras"
337,2,46,"Miki Koishikawa","Calla bobo, no ves que no podemos decir a la gente que nuestras familias viven en la misma casa"
338,2,46,"Yuu Matsuura","¿Y por qué no?"
339,2,46,"Miki Koishikawa","Porque todo el mundo pensaría que somos unos tíos raros"
340,2,46,"Yuu Matsuura","Ya lo veis, su relación va muy en serio, ya que viven juntos"
341,2,46,"Miki Koishikawa","¡Deja de inventarte historias!"
342,2,47,"Meiko Akizuki","Te has convertido en una celebridad"
343,2,47,"Miki Koishikawa","Calla, no veas que corte me da que me vean"
344,2,47,"Miki Koishikawa","Y todo por culpa de Yuu"
345,2,48,"Ginta Suou","Es guapo, hace deporte, es buen estudiante"
346,2,48,"Ginta Suou","Espero que por lo menos no sea más inteligente que yo"
347,2,48,"Meiko Akizuki","Pues no me parece imposible"
348,2,48,"Meiko Akizuki","Por qué ha entrado con examen de ingreso y eso es muy difícil"
349,2,48,"Ginta Suou",Bah
350,2,48,"Miki Koishikawa","Ginta, espera"
351,2,49,"Miki's friend","A mí me gustaría que todos aceptarán a Yuu, es muy simpático, ¿no creéis?Yo creo, que el único que no le traga es Ginta"
352,2,49,"Miki's friend","Yo creo, que el único que no le traga es Ginta"
353,2,49,"Miki's friend","Está celoso porque Miki no le hace caso por culpa de Yuu"
354,2,49,"Miki Koishikawa","Oye que eso no es cierto, porque Ginta me dijo una vez que no quería salir conmigo"
355,2,49,"Miki's friend","¿En serio?, pues yo no sabía"
356,2,49,"Miki Koishikawa","No os preocupéis ocurrió hace unos años"
357,2,49,"Miki Koishikawa","La verdad es que yo ya casi lo he olvidado"
358,2,49,"Miki's friend","Vaya, menos mal"
359,2,50,"Miki Koishikawa","Ginta, ¿celoso?, No puede ser"
360,2,50,"Miki Koishikawa","No puedo olvidar que estuve enamorada de él hace dos años"
361,2,50,"Miki Koishikawa","Siempre estaba pendiente de él en clase"
362,2,50,"Miki Koishikawa","Y cuando llegaba a casa, recordaba todo lo que habiamos hablado a lo largo del día"
363,2,51,"Meiko Akizuki","¿Pero qué parte de Ginta es la que más te va?"
364,2,51,"Miki Koishikawa","Cómo que parte, pues me gusta porque tiene muy buen carácter y porque puedo hablar con él de lo que quiera"
365,2,51,"Meiko Akizuki","Vaya, ¿hay algo que no te guste?"
366,2,51,"Miki Koishikawa","No, no qué va"
367,2,51,"Miki Koishikawa","Me encanta como es"
368,2,51,"Meiko Akizuki","Pues díselo"
369,2,51,"Miki Koishikawa","¿!Qué?!, no seria capaz"
370,2,52,"Miki Koishikawa","¿Qué es esto?"
371,2,52,"Ginta Suou","Es un recuerdo de Wimbledon, me lo trajo mi primo de su viaje a Londres"
372,2,52,"Miki Koishikawa","¿Y es para mí?"
373,2,52,"Ginta Suou","Te lo regalo con una condición, no se lo digas a nadie"
